Station Name,Latitude,Longitude
A00421,46.93184068,-121.7903601
A00422,46.93170115,-121.7772263
A00423,46.9315601,-121.7640926
A00424,46.93141756,-121.750959
A00425,46.9312735,-121.7378255
A00426,46.93112794,-121.7246921
A00427,46.93098087,-121.7115588
A00428,46.9308323,-121.6984256
A00429,46.93068222,-121.6852925
A00430,46.93053064,-121.6721595
A00431,46.93037755,-121.6590267
A00432,46.93022295,-121.6458939
A00433,46.93006685,-121.6327613
A00434,46.92990924,-121.6196287
A00435,46.92975012,-121.6064963
A00436,46.9295895,-121.593364
A00437,46.92942737,-121.5802318
A00438,46.92926374,-121.5670997
A00439,46.9290986,-121.5539677
A00440,46.92893196,-121.5408358
A00441,46.92876381,-121.5277041
A00442,46.92859415,-121.5145725
A00443,46.92842299,-121.501441
A00444,46.92825032,-121.4883096
A00445,46.92807615,-121.4751783
A00446,46.92790047,-121.4620472
A00447,46.92772329,-121.4489162
A00448,46.9275446,-121.4357853
A00449,46.92736441,-121.4226545
A00450,46.92718271,-121.4095239
A00451,46.9269995,-121.3963934
A00452,46.92681479,-121.383263
A00453,46.92662858,-121.3701328
A00454,46.92644085,-121.3570027
A00455,46.92625163,-121.3438727
A00456,46.9260609,-121.3307428
A00457,46.92586866,-121.3176131
A00458,46.92567492,-121.3044835
A00459,46.92547967,-121.2913541
A00460,46.92528292,-121.2782248
A00461,46.92508466,-121.2650956
A00462,46.9248849,-121.2519666
A00463,46.92468364,-121.2388377
A00464,46.92448086,-121.225709
A00465,46.92427659,-121.2125804
A00466,46.92407081,-121.1994519
A00467,46.92386352,-121.1863236
A00468,46.92365473,-121.1731954
A00469,46.9470389,-123.2091966
A00470,46.94706216,-123.1960562
A00471,46.9470839,-123.1829158
A00472,46.94710414,-123.1697753
A00473,46.94712287,-123.1566349
A00474,46.94714009,-123.1434944
A00475,46.94715581,-123.1303539
A00476,46.94717001,-123.1172135
A00477,46.94718271,-123.104073
A00478,46.9471939,-123.0909325
A00479,46.94720359,-123.0777919
A00480,46.94721176,-123.0646514
A00481,46.94721842,-123.0515109
A00482,46.94722358,-123.0383704
A00483,46.94722723,-123.0252298
A00484,46.94722937,-123.0120893
A00485,46.94723001,-122.9989488
A00486,46.94722913,-122.9858082
A00487,46.94722675,-122.9726677
A00488,46.94722286,-122.9595272
A00489,46.94721746,-122.9463866
A00490,46.94721055,-122.9332461
A00491,46.94720214,-122.9201056
A00492,46.94719221,-122.9069651
A00493,46.94718078,-122.8938246
A00494,46.94716784,-122.8806841
A00495,46.9471534,-122.8675436
A00496,46.94713744,-122.8544031
A00497,46.94711998,-122.8412626
A00498,46.947101,-122.8281222
A00499,46.94708052,-122.8149817
A00500,46.94705854,-122.8018413
A00501,46.94703504,-122.7887009
A00502,46.94701004,-122.7755605
A00503,46.94698352,-122.7624202
A00504,46.9469555,-122.7492798
A00505,46.94692598,-122.7361395
A00506,46.94689494,-122.7229992
A00507,46.94686239,-122.7098589
A00508,46.94682834,-122.6967186
A00509,46.94679278,-122.6835784
A00510,46.94675571,-122.6704381
A00511,46.94671714,-122.657298
A00512,46.94667705,-122.6441578
A00513,46.94663546,-122.6310177
A00514,46.94659236,-122.6178776
A00515,46.94654775,-122.6047375
A00516,46.94650163,-122.5915974
A00517,46.94645401,-122.5784574
A00518,46.94640488,-122.5653175
A00519,46.94635424,-122.5521775
A00520,46.94630209,-122.5390376
A00521,46.94624843,-122.5258978
A00522,46.94619327,-122.5127579
A00523,46.9461366,-122.4996181
A00524,46.94607842,-122.4864784
A00525,46.94601873,-122.4733387
A00526,46.94595754,-122.460199
A00527,46.94589483,-122.4470594
A00528,46.94583062,-122.4339198
A00529,46.9457649,-122.4207803
A00530,46.94569768,-122.4076408
A00531,46.94562894,-122.3945014
A00532,46.9455587,-122.381362
A00533,46.94548695,-122.3682227
A00534,46.94541369,-122.3550834
A00535,46.94533893,-122.3419442
A00536,46.94526265,-122.328805
A00537,46.94518487,-122.3156658
A00538,46.94510558,-122.3025268
A00539,46.94502479,-122.2893878
A00540,46.94494248,-122.2762488
A00541,46.94485867,-122.2631099
A00542,46.94477335,-122.2499711
A00543,46.94468652,-122.2368323
A00544,46.94459819,-122.2236936
A00545,46.94450835,-122.2105549
A00546,46.944417,-122.1974163
A00547,46.94432414,-122.1842778
A00548,46.94422978,-122.1711393
A00549,46.94413391,-122.158001
A00550,46.94403653,-122.1448626
A00551,46.94393764,-122.1317244
A00552,46.94383724,-122.1185862
A00553,46.94373534,-122.1054481
A00554,46.94363193,-122.09231
A00555,46.94352702,-122.0791721
A00556,46.94342059,-122.0660342
A00557,46.94331266,-122.0528963
A00558,46.94320322,-122.0397586
A00559,46.94309228,-122.0266209
A00560,46.94297982,-122.0134833
A00561,46.94286586,-122.0003458
A00562,46.9427504,-121.9872084
A00563,46.94263342,-121.9740711
A00564,46.94251494,-121.9609338
A00565,46.94239495,-121.9477966
A00566,46.94227346,-121.9346595
A00567,46.94215045,-121.9215225
A00568,46.94202594,-121.9083856
A00569,46.94189993,-121.8952488
A00570,46.9417724,-121.882112
A00571,46.94164337,-121.8689754
A00572,46.94151283,-121.8558388
A00573,46.94138079,-121.8427023
A00574,46.94124723,-121.829566
A00575,46.94111218,-121.8164297
A00576,46.94097561,-121.8032935
A00577,46.94083754,-121.7901574
A00578,46.94069796,-121.7770214
A00579,46.94055687,-121.7638855
A00580,46.94041428,-121.7507497
A00581,46.94027018,-121.737614
A00582,46.94012457,-121.7244784
A00583,46.93997746,-121.7113429
A00584,46.93982884,-121.6982076
A00585,46.93967872,-121.6850723
A00586,46.93952708,-121.6719371
A00587,46.93937394,-121.658802
A00588,46.9392193,-121.6456671
A00589,46.93906315,-121.6325322
A00590,46.93890549,-121.6193975
A00591,46.93874632,-121.6062629
A00592,46.93858565,-121.5931284
A00593,46.93842347,-121.5799939
A00594,46.93825979,-121.5668597
A00595,46.9380946,-121.5537255
A00596,46.9379279,-121.5405914
A00597,46.9377597,-121.5274575
A00598,46.93758999,-121.5143237
A00599,46.93741878,-121.50119
A00600,46.93724606,-121.4880564
A00601,46.93707183,-121.4749229
A00602,46.9368961,-121.4617896
A00603,46.93671886,-121.4486564
A00604,46.93654011,-121.4355233
A00605,46.93635986,-121.4223904
A00606,46.93617811,-121.4092575
A00607,46.93599484,-121.3961248
A00608,46.93581008,-121.3829922
A00609,46.9356238,-121.3698598
A00610,46.93543602,-121.3567275
A00611,46.93524674,-121.3435953
A00612,46.93505594,-121.3304633
A00613,46.93486365,-121.3173314
A00614,46.93466985,-121.3041996
A00615,46.93447454,-121.2910679
A00616,46.93427773,-121.2779364
A00617,46.93407941,-121.2648051
A00618,46.93387958,-121.2516739
A00619,46.93367825,-121.2385428
A00620,46.93347542,-121.2254118
A00621,46.93327108,-121.212281
A00622,46.93306523,-121.1991504
A00623,46.93285788,-121.1860199
A00624,46.93264903,-121.1728895
A00625,46.95603768,-123.2092317
A00626,46.95606094,-123.1960891
A00627,46.9560827,-123.1829464
A00628,46.95610294,-123.1698038
A00629,46.95612168,-123.1566611
A00630,46.95613891,-123.1435185
A00631,46.95615463,-123.1303758
A00632,46.95616884,-123.1172331
A00633,46.95618154,-123.1040904
A00634,46.95619273,-123.0909477
A00635,46.95620242,-123.077805
A00636,46.95621059,-123.0646623
A00637,46.95621726,-123.0515195
A00638,46.95622242,-123.0383768
A00639,46.95622607,-123.0252341
A00640,46.95622821,-123.0120913
A00641,46.95622885,-122.9989486
A00642,46.95622797,-122.9858058
A00643,46.95622559,-122.9726631
A00644,46.9562217,-122.9595204
A00645,46.9562163,-122.9463776
A00646,46.95620939,-122.9332349
A00647,46.95620097,-122.9200922
A00648,46.95619104,-122.9069495
A00649,46.95617961,-122.8938068
A00650,46.95616666,-122.8806641
A00651,46.95615221,-122.8675214
A00652,46.95613625,-122.8543787
A00653,46.95611878,-122.841236
A00654,46.9560998,-122.8280934
A00655,46.95607932,-122.8149507
A00656,46.95605732,-122.8018081
A00657,46.95603382,-122.7886655
A00658,46.95600881,-122.7755229
A00659,46.95598229,-122.7623803
A00660,46.95595426,-122.7492378
A00661,46.95592472,-122.7360952
A00662,46.95589367,-122.7229527
A00663,46.95586112,-122.7098102
A00664,46.95582706,-122.6966678
A00665,46.95579149,-122.6835253
A00666,46.95575441,-122.6703829
A00667,46.95571582,-122.6572405
A00668,46.95567572,-122.6440981
A00669,46.95563411,-122.6309558
A00670,46.955591,-122.6178135
A00671,46.95554638,-122.6046712
A00672,46.95550025,-122.591529
A00673,46.95545261,-122.5783868
A00674,46.95540346,-122.5652446
A00675,46.9553528,-122.5521025
